"Gene","Entry.Name","UniProt.ID","Description","logFC","P.Val","adj.P.Val","log.P.Val","log.adj.P.Val","n_data_points_BK516_Ctrl","n_data_points_BK516_Cflag","imputed_BK516_Cflag","imputed_BK516_Ctrl","is_significant"
"GENE1163","GENE1163_HUMAN","P33183","Protein GENE1163",0.8134,1,0.73983,0.0412,0.1309,4,2,FALSE,FALSE,FALSE
"GENE2581","GENE2581_HUMAN","P68189","Protein GENE2581",0.3886,1,0.302699,0.2901,0.519,3,3,FALSE,FALSE,FALSE
"GENE1138","GENE1138_HUMAN","P90371","Protein GENE1138",0.448,1,0.753612,0,0.1229,4,3,FALSE,FALSE,FALSE
"GENE2682","GENE2682_HUMAN","P03452","Protein GENE2682",-0.2684,1,0.855783,0,0.0676,6,4,FALSE,FALSE,FALSE
"GENE2886","GENE2886_HUMAN","P14070","Protein GENE2886",-0.0194,1,0.747418,0.0669,0.1264,6,5,FALSE,FALSE,FALSE
"GENE2223","GENE2223_HUMAN","P78412","Protein GENE2223",0.5437,1,0.728617,0,0.1375,6,3,FALSE,FALSE,FALSE
"GENE0307","GENE0307_HUMAN","P63041","Protein GENE0307",-0.1501,1,0.760208,0,0.1191,2,6,FALSE,FALSE,FALSE
"GENE2446","GENE2446_HUMAN","P02569","Protein GENE2446",-0.8779,0.136552,0.045245,0.7486,1.3444,2,6,FALSE,TRUE,TRUE
"GENE0465","GENE0465_HUMAN","P99808","Protein GENE0465",0.2186,1,0.496727,0,0.3039,2,4,FALSE,TRUE,FALSE
"GENE0018","GENE0018_HUMAN","P25449","Protein GENE0018",0.4108,1,0.300599,0,0.522,6,4,FALSE,FALSE,FALSE
"GENE1123","GENE1123_HUMAN","P83647","Protein GENE1123",-0.7524,0.534754,0.118771,0.314,0.9253,4,4,FALSE,FALSE,FALSE
"GENE2398","GENE2398_HUMAN","P68543","Protein GENE2398",3.7362,0.076854,0.019743,1.4972,1.7046,5,5,FALSE,FALSE,TRUE
"GENE0822","GENE0822_HUMAN","P05727","Protein GENE0822",-0.1085,0.938783,0.290206,0.0263,0.5373,4,2,FALSE,FALSE,FALSE
"GENE2077","GENE2077_HUMAN","P34005","Protein GENE2077",-0.4401,1,0.867575,0,0.0617,2,2,TRUE,FALSE,FALSE
"GENE0202","GENE0202_HUMAN","P62766","Protein GENE0202",0.3096,0.668564,0.322569,0,0.4914,6,6,FALSE,FALSE,FALSE
"GENE1773","GENE1773_HUMAN","P46108","Protein GENE1773",-0.17,1,0.413372,0,0.3837,3,4,FALSE,FALSE,FALSE
"GENE1470","GENE1470_HUMAN","P06889","Protein GENE1470",0.0203,1,0.328592,0,0.4833,6,4,FALSE,FALSE,FALSE
"GENE0816","GENE0816_HUMAN","P95404","Protein GENE0816",0.0598,0.614628,0.544737,0,0.2638,6,3,FALSE,FALSE,FALSE
"GENE0120","GENE0120_HUMAN","P34167","Protein GENE0120",-0.5334,1,0.970302,0,0.0131,3,6,FALSE,FALSE,FALSE
"GENE2799","GENE2799_HUMAN","P54693","Protein GENE2799",0.5834,0.323564,0.085827,0.4022,1.0664,5,6,FALSE,FALSE,FALSE
"GENE0166","GENE0166_HUMAN","P10159","Protein GENE0166",-3.6079,0.017907,0.01321,1.3697,1.8791,2,6,FALSE,FALSE,TRUE
"GENE0740","GENE0740_HUMAN","P61823","Protein GENE0740",0.3541,0.472751,0.383981,0,0.4157,2,6,FALSE,TRUE,FALSE
"GENE1974","GENE1974_HUMAN","P64332","Protein GENE1974",-0.2174,0.668412,0.378148,0.3184,0.4223,3,6,FALSE,FALSE,FALSE
"GENE0867","GENE0867_HUMAN","P66820","Protein GENE0867",-0.4899,1,0.530279,0,0.2755,3,6,FALSE,FALSE,FALSE
"GENE2627","GENE2627_HUMAN","P76889","Protein GENE2627",-0.2068,1,0.907473,0,0.0422,3,2,FALSE,FALSE,FALSE
"GENE0571","GENE0571_HUMAN","P14252","Protein GENE0571",-0.1456,1,0.535749,0,0.271,2,3,FALSE,FALSE,FALSE
"GENE1359","GENE1359_HUMAN","P92530","Protein GENE1359",0.5352,1,0.700921,0,0.1543,6,5,FALSE,TRUE,FALSE
"GENE0810","GENE0810_HUMAN","P13364","Protein GENE0810",0.9826,0.051485,0.030174,0.8429,1.5204,5,5,FALSE,FALSE,TRUE
"GENE2074","GENE2074_HUMAN","P00308","Protein GENE2074",-0.7629,1,0.642272,0,0.1923,6,3,FALSE,FALSE,FALSE
"GENE2272","GENE2272_HUMAN","P60489","Protein GENE2272",-0.204,0.869775,0.480878,0,0.318,4,3,FALSE,FALSE,FALSE
"GENE1419","GENE1419_HUMAN","P74777","Protein GENE1419",0.2809,1,0.686112,0,0.1636,4,4,FALSE,FALSE,FALSE
"GENE0438","GENE0438_HUMAN","P79324","Protein GENE0438",0.2045,1,0.798287,0,0.0978,5,2,FALSE,FALSE,FALSE
"GENE2193","GENE2193_HUMAN","P85886","Protein GENE2193",-0.3107,0.67539,0.409048,0.071,0.3882,6,5,TRUE,FALSE,FALSE
"GENE0195","GENE0195_HUMAN","P78712","Protein GENE0195",-0.1576,0.630253,0.141716,0.3312,0.8486,5,2,FALSE,TRUE,FALSE
"GENE2624","GENE2624_HUMAN","P13292","Protein GENE2624",0.1095,1,0.687069,0,0.163,4,6,FALSE,FALSE,FALSE
"GENE2593","GENE2593_HUMAN","P60583","Protein GENE2593",-0.3698,0.788479,0.514636,0.0105,0.2885,6,2,FALSE,FALSE,FALSE
"GENE2672","GENE2672_HUMAN","P82813","Protein GENE2672",-0.5503,0.280812,0.190418,0.1812,0.7203,3,2,FALSE,FALSE,FALSE
"GENE2110","GENE2110_HUMAN","P68112","Protein GENE2110",-0.3076,1,0.731156,0,0.136,6,5,FALSE,FALSE,FALSE
"GENE2511","GENE2511_HUMAN","P21836","Protein GENE2511",-0.0973,1,0.599465,0,0.2222,4,4,FALSE,FALSE,FALSE
"GENE1496","GENE1496_HUMAN","P46450","Protein GENE1496",0.5215,1,0.858715,0,0.0662,3,5,TRUE,FALSE,FALSE
"GENE0107","GENE0107_HUMAN","P06324","Protein GENE0107",1.3898,1,0.566203,0,0.247,6,2,FALSE,FALSE,FALSE
"GENE2667","GENE2667_HUMAN","P98348","Protein GENE2667",-0.0023,1,0.91337,0,0.0394,2,2,FALSE,FALSE,FALSE
"GENE2831","GENE2831_HUMAN","P85784","Protein GENE2831",0.0733,0.344553,0.12976,0.3145,0.8869,2,3,FALSE,FALSE,FALSE
"GENE2325","GENE2325_HUMAN","P72272","Protein GENE2325",-0.1124,1,0.840236,0,0.0756,2,4,FALSE,FALSE,FALSE
"GENE0888","GENE0888_HUMAN","P98397","Protein GENE0888",0.3339,0.741155,0.474217,0,0.324,3,2,FALSE,FALSE,FALSE
"GENE0497","GENE0497_HUMAN","P49103","Protein GENE0497",-0.0994,1,0.359543,0,0.4442,4,5,FALSE,FALSE,FALSE
"GENE2565","GENE2565_HUMAN","P64821","Protein GENE2565",0.1113,1,0.856425,0,0.0673,2,3,FALSE,FALSE,FALSE
"GENE1824","GENE1824_HUMAN","P19432","Protein GENE1824",-0.2912,1,0.907198,0,0.0423,5,4,FALSE,FALSE,FALSE
"GENE2555","GENE2555_HUMAN","P42899","Protein GENE2555",-0.1582,0.604079,0.231104,0.1022,0.6362,2,5,FALSE,FALSE,FALSE
"GENE2038","GENE2038_HUMAN","P35337","Protein GENE2038",0.2002,1,0.494525,0.2088,0.3058,5,6,FALSE,FALSE,FALSE
"GENE0531","GENE0531_HUMAN","P90795","Protein GENE0531",-0.5695,1,0.608532,0,0.2157,2,5,FALSE,FALSE,FALSE
"GENE0985","GENE0985_HUMAN","P43939","Protein GENE0985",0.1519,1,0.524674,0,0.2801,5,5,FALSE,FALSE,FALSE
"GENE2852","GENE2852_HUMAN","P94826","Protein GENE2852",0.3273,1,0.311731,0.1099,0.5062,5,4,TRUE,FALSE,FALSE
"GENE0303","GENE0303_HUMAN","P45685","Protein GENE0303",0.1277,1,0.638214,0,0.195,2,6,FALSE,FALSE,FALSE
"GENE0266","GENE0266_HUMAN","P02081","Protein GENE0266",0.7577,1,0.824478,0,0.0838,4,5,FALSE,FALSE,FALSE
"GENE1876","GENE1876_HUMAN","P37396","Protein GENE1876",0.2961,0.770702,0.412568,0,0.3845,2,5,FALSE,FALSE,FALSE
"GENE0040","GENE0040_HUMAN","P28112","Protein GENE0040",-2.8699,0.097612,0.043061,0.8071,1.3659,2,2,TRUE,FALSE,TRUE
"GENE1441","GENE1441_HUMAN","P96559","Protein GENE1441",0.1369,1,0.517191,0.2393,0.2863,2,3,TRUE,FALSE,FALSE
"GENE0125","GENE0125_HUMAN","P48982","Protein GENE0125",-0.1128,1,0.773924,0,0.1113,5,3,FALSE,FALSE,FALSE
"GENE1562","GENE1562_HUMAN","P85884","Protein GENE1562",0.619,0.958017,0.600699,0,0.2213,2,2,FALSE,FALSE,FALSE
"GENE1474","GENE1474_HUMAN","P00430","Protein GENE1474",0.5251,1,0.627099,0.0574,0.2027,5,2,FALSE,FALSE,FALSE
"GENE0559","GENE0559_HUMAN","P40154","Protein GENE0559",0.266,0.946685,0.434422,0,0.3621,2,5,TRUE,FALSE,FALSE
"GENE1376","GENE1376_HUMAN","P95154","Protein GENE1376",0.2767,1,0.983934,0,0.007,6,2,FALSE,FALSE,FALSE
"GENE1128","GENE1128_HUMAN","P45403","Protein GENE1128",2.9299,0.142657,0.034536,0.8944,1.4617,5,2,TRUE,FALSE,TRUE
"GENE2216","GENE2216_HUMAN","P67142","Protein GENE2216",-0.3505,0.438441,0.108157,0.2808,0.9659,4,6,FALSE,FALSE,FALSE
"GENE0834","GENE0834_HUMAN","P62398","Protein GENE0834",0.7363,0.25099,0.21026,0.2482,0.6772,2,3,FALSE,FALSE,FALSE
"GENE2468","GENE2468_HUMAN","P09013","Protein GENE2468",1.7544,0.146948,0.037144,1.3793,1.4301,3,6,FALSE,FALSE,TRUE
"GENE0421","GENE0421_HUMAN","P39527","Protein GENE0421",0.5223,1,0.823451,0,0.0844,2,4,FALSE,TRUE,FALSE
"GENE0493","GENE0493_HUMAN","P67152","Protein GENE0493",0.2737,0.756873,0.156546,0.6078,0.8054,4,4,FALSE,TRUE,FALSE
"GENE2285","GENE2285_HUMAN","P31817","Protein GENE2285",-0.2792,0.730014,0.170298,0.6169,0.7688,2,4,FALSE,FALSE,FALSE
"GENE1909","GENE1909_HUMAN","P98197","Protein GENE1909",-0.0574,1,0.393133,0.2853,0.4055,2,3,FALSE,FALSE,FALSE
"GENE1422","GENE1422_HUMAN","P48819","Protein GENE1422",-0.0773,1,0.82,0,0.0862,5,4,FALSE,FALSE,FALSE
"GENE2692","GENE2692_HUMAN","P03457","Protein GENE2692",0.2597,0.77663,0.245578,0.4296,0.6098,5,2,FALSE,TRUE,FALSE
"GENE0795","GENE0795_HUMAN","P10169","Protein GENE0795",-2.8247,0.038645,0.033457,1.0526,1.4755,3,6,FALSE,FALSE,TRUE
"GENE2503","GENE2503_HUMAN","P30345","Protein GENE2503",0.0118,1,0.925847,0,0.0335,2,2,FALSE,FALSE,FALSE
"GENE2377","GENE2377_HUMAN","P73624","Protein GENE2377",-0.5049,1,0.839493,0,0.076,6,6,FALSE,FALSE,FALSE
"GENE0090","GENE0090_HUMAN","P52572","Protein GENE0090",0.3493,1,0.610843,0,0.2141,3,2,TRUE,FALSE,FALSE
"GENE2101","GENE2101_HUMAN","P73968","Protein GENE2101",0.2379,0.153763,0.090192,0.4356,1.0448,5,6,FALSE,FALSE,FALSE
"GENE2120","GENE2120_HUMAN","P37561","Protein GENE2120",-0.1984,1,0.57578,0,0.2397,4,3,FALSE,FALSE,FALSE
"GENE1416","GENE1416_HUMAN","P12907","Protein GENE1416",0.593,0.697059,0.485712,0,0.3136,6,6,FALSE,FALSE,FALSE
"GENE0330","GENE0330_HUMAN","P99111","Protein GENE0330",-0.2077,1,0.988838,0,0.0049,2,2,TRUE,FALSE,FALSE
"GENE2782","GENE2782_HUMAN","P56567","Protein GENE2782",-0.1192,0.333803,0.27553,0,0.5598,5,6,FALSE,FALSE,FALSE
"GENE1831","GENE1831_HUMAN","P35037","Protein GENE1831",-0.0825,1,0.604875,0,0.2183,2,6,FALSE,FALSE,FALSE
"GENE0911","GENE0911_HUMAN","P58066","Protein GENE0911",-0.5825,1,0.431524,0.2406,0.365,3,4,FALSE,FALSE,FALSE
"GENE2578","GENE2578_HUMAN","P51616","Protein GENE2578",-0.21,0.737985,0.680417,0,0.1672,6,2,TRUE,FALSE,FALSE
"GENE2202","GENE2202_HUMAN","P02592","Protein GENE2202",0.7609,0.083387,0.029928,1.1106,1.5239,6,3,FALSE,FALSE,TRUE
"GENE0950","GENE0950_HUMAN","P71385","Protein GENE0950",-0.2537,1,0.564487,0,0.2483,4,2,FALSE,FALSE,FALSE
"GENE0414","GENE0414_HUMAN","P55304","Protein GENE0414",-0.272,0.656295,0.349859,0.2007,0.4561,2,3,FALSE,FALSE,FALSE
"GENE2839","GENE2839_HUMAN","P46918","Protein GENE2839",-0.3589,0.236258,0.121025,0.2312,0.9171,5,6,FALSE,FALSE,FALSE
"GENE2527","GENE2527_HUMAN","P44368","Protein GENE2527",-1.9419,0.003171,0.000735,2.5448,3.1339,4,2,FALSE,FALSE,TRUE
"GENE0919","GENE0919_HUMAN","P40066","Protein GENE0919",0.0551,0.93483,0.386572,0,0.4128,6,6,FALSE,FALSE,FALSE
"GENE2246","GENE2246_HUMAN","P30367","Protein GENE2246",-0.166,1,0.87263,0,0.0592,6,6,FALSE,FALSE,FALSE
"GENE0572","GENE0572_HUMAN","P87445","Protein GENE0572",-1.7714,0.015913,0.004261,1.7334,2.3705,2,5,FALSE,FALSE,TRUE
"GENE2170","GENE2170_HUMAN","P90023","Protein GENE2170",0.3651,0.843995,0.442064,0,0.3545,3,5,FALSE,FALSE,FALSE
"GENE1852","GENE1852_HUMAN","P81275","Protein GENE1852",0.2395,1,0.330345,0.1679,0.481,6,5,TRUE,TRUE,FALSE
"GENE2068","GENE2068_HUMAN","P43906","Protein GENE2068",0.1098,0.243226,0.084166,0.7318,1.0749,3,3,FALSE,FALSE,FALSE
"GENE1203","GENE1203_HUMAN","P03124","Protein GENE1203",-0.3909,1,0.968883,0,0.0137,4,6,FALSE,FALSE,FALSE
"GENE1498","GENE1498_HUMAN","P28829","Protein GENE1498",0.2825,0.544989,0.452072,0,0.3448,2,2,TRUE,TRUE,FALSE
"GENE2176","GENE2176_HUMAN","P31201","Protein GENE2176",0.0518,0.347516,0.225958,0.0205,0.646,2,2,FALSE,FALSE,FALSE
"GENE1861","GENE1861_HUMAN","P32218","Protein GENE1861",0.1742,0.59639,0.235647,0.5252,0.6277,6,4,FALSE,FALSE,FALSE
"GENE1955","GENE1955_HUMAN","P23320","Protein GENE1955",-0.6258,0.998873,0.860138,0,0.0654,2,4,FALSE,FALSE,FALSE
"GENE2292","GENE2292_HUMAN","P06248","Protein GENE2292",-0.3095,1,0.96408,0,0.0159,3,5,FALSE,FALSE,FALSE
"GENE1451","GENE1451_HUMAN","P63890","Protein GENE1451",0.634,1,0.33506,0.0667,0.4749,2,2,FALSE,FALSE,FALSE
"GENE1620","GENE1620_HUMAN","P59075","Protein GENE1620",0.3786,0.698597,0.54462,0.0382,0.2639,2,5,FALSE,FALSE,FALSE
"GENE1603","GENE1603_HUMAN","P00879","Protein GENE1603",-0.0289,0.23768,0.067592,0.6408,1.1701,3,3,FALSE,FALSE,FALSE
"GPATCH3","GPATCH3_HUMAN","P59505","Protein GPATCH3",-0.75,1,0.678435,0,0.1685,3,3,FALSE,FALSE,FALSE
"GENE2823","GENE2823_HUMAN","P55640","Protein GENE2823",-0.3122,0.422215,0.131459,0.2011,0.8812,5,4,TRUE,FALSE,FALSE
"GENE0825","GENE0825_HUMAN","P92968","Protein GENE0825",-0.0905,0.491173,0.162623,0.1211,0.7888,2,6,FALSE,FALSE,FALSE
"GENE2732","GENE2732_HUMAN","P76228","Protein GENE2732",-0.5553,0.62258,0.231754,0.6098,0.635,4,4,FALSE,FALSE,FALSE
"GENE1483","GENE1483_HUMAN","P59153","Protein GENE1483",-0.1321,0.186095,0.065155,0.8608,1.1861,3,2,FALSE,FALSE,FALSE
"GENE0672","GENE0672_HUMAN","P61870","Protein GENE0672",0.2624,1,0.444899,0.0427,0.3517,2,6,FALSE,FALSE,FALSE
"GENE0660","GENE0660_HUMAN","P64577","Protein GENE0660",0.8896,0.95765,0.717675,0,0.1441,3,4,FALSE,TRUE,FALSE
"GENE1097","GENE1097_HUMAN","P23496","Protein GENE1097",-4.2375,0.181219,0.040975,0.7684,1.3875,2,5,FALSE,FALSE,TRUE
"GENE1093","GENE1093_HUMAN","P86648","Protein GENE1093",-0.2412,1,0.632384,0,0.199,4,2,FALSE,FALSE,FALSE
"GENE1046","GENE1046_HUMAN","P42945","Protein GENE1046",0.8151,0.612289,0.267182,0,0.5732,2,6,FALSE,FALSE,FALSE
"GENE1786","GENE1786_HUMAN","P26809","Protein GENE1786",-0.0421,1,0.850516,0,0.0703,4,2,FALSE,FALSE,FALSE
"GENE1388","GENE1388_HUMAN","P58638","Protein GENE1388",-0.2103,1,0.663368,0,0.1782,6,5,FALSE,FALSE,FALSE
"GENE0369","GENE0369_HUMAN","P12095","Protein GENE0369",-0.1218,0.074783,0.061146,0.9628,1.2136,5,5,FALSE,FALSE,FALSE
"GENE0635","GENE0635_HUMAN","P60317","Protein GENE0635",0.5932,1,0.408285,0,0.389,6,6,FALSE,FALSE,FALSE
"GENE2059","GENE2059_HUMAN","P21357","Protein GENE2059",-0.7774,0.567751,0.537277,0,0.2698,3,5,FALSE,FALSE,FALSE
"GENE0828","GENE0828_HUMAN","P83374","Protein GENE0828",0.5286,0.927015,0.672306,0,0.1724,5,2,FALSE,TRUE,FALSE
"GENE2883","GENE2883_HUMAN","P45803","Protein GENE2883",-0.4179,1,0.544428,0,0.2641,2,4,FALSE,FALSE,FALSE
"GENE2600","GENE2600_HUMAN","P53538","Protein GENE2600",0.092,1,0.863431,0,0.0638,3,5,FALSE,FALSE,FALSE
"GENE1103","GENE1103_HUMAN","P71850","Protein GENE1103",0.3664,0.784944,0.602932,0,0.2197,6,3,FALSE,FALSE,FALSE
"GENE0533","GENE0533_HUMAN","P56449","Protein GENE0533",-0.0068,1,0.75484,0,0.1221,2,4,FALSE,TRUE,FALSE
"GENE1249","GENE1249_HUMAN","P90355","Protein GENE1249",-0.0854,1,0.483948,0,0.3152,6,5,FALSE,FALSE,FALSE
"GENE2753","GENE2753_HUMAN","P74323","Protein GENE2753",-0.6407,1,0.631943,0.0239,0.1993,2,2,FALSE,FALSE,FALSE
"GENE2674","GENE2674_HUMAN","P15351","Protein GENE2674",0.8625,1,0.962207,0,0.0167,6,4,FALSE,FALSE,FALSE
"GENE1875","GENE1875_HUMAN","P44105","Protein GENE1875",0.933,1,0.784878,0,0.1052,3,2,FALSE,FALSE,FALSE
"GENE0027","GENE0027_HUMAN","P71497","Protein GENE0027",-0.4735,1,0.862734,0,0.0641,2,3,FALSE,FALSE,FALSE
"GENE1642","GENE1642_HUMAN","P04366","Protein GENE1642",2.115,0.055057,0.047617,0.8681,1.3222,4,6,FALSE,FALSE,TRUE
"GENE0650","GENE0650_HUMAN","P81861","Protein GENE0650",-0.4732,1,0.282213,0,0.5494,5,2,FALSE,FALSE,FALSE
"GENE1215","GENE1215_HUMAN","P63857","Protein GENE1215",-0.6398,1,0.98809,0,0.0052,3,6,FALSE,FALSE,FALSE
"GENE1998","GENE1998_HUMAN","P53563","Protein GENE1998",0.5584,1,0.903814,0,0.0439,6,5,FALSE,FALSE,FALSE
"GENE0679","GENE0679_HUMAN","P77542","Protein GENE0679",-0.2999,1,0.695791,0,0.1575,2,4,FALSE,FALSE,FALSE
"GENE2140","GENE2140_HUMAN","P38440","Protein GENE2140",-0.5146,1,0.614591,0,0.2114,6,4,FALSE,FALSE,FALSE
"GENE1301","GENE1301_HUMAN","P88498","Protein GENE1301",-0.772,0.113458,0.103472,0.3297,0.9852,2,3,FALSE,FALSE,FALSE
"GENE0078","GENE0078_HUMAN","P41076","Protein GENE0078",-0.0518,1,0.995896,0,0.0018,5,5,FALSE,FALSE,FALSE
"GENE1983","GENE1983_HUMAN","P10229","Protein GENE1983",0.3787,1,0.541271,0,0.2666,5,6,TRUE,TRUE,FALSE
"GENE2257","GENE2257_HUMAN","P65256","Protein GENE2257",0.1141,1,0.953933,0,0.0205,6,6,FALSE,FALSE,FALSE
"GENE0830","GENE0830_HUMAN","P88233","Protein GENE0830",0.492,1,0.489118,0.0519,0.3106,5,2,FALSE,FALSE,FALSE
"GENE0790","GENE0790_HUMAN","P54998","Protein GENE0790",0.1456,1,0.618818,0,0.2084,3,6,FALSE,FALSE,FALSE
"GENE0976","GENE0976_HUMAN","P75757","Protein GENE0976",-1.0175,1,0.930677,0,0.0312,2,2,FALSE,FALSE,FALSE
"GENE2821","GENE2821_HUMAN","P26139","Protein GENE2821",2.8086,0.115021,0.044896,1.0074,1.3478,4,5,FALSE,FALSE,TRUE
"GENE1488","GENE1488_HUMAN","P16611","Protein GENE1488",0.4997,1,0.700116,0,0.1548,6,3,FALSE,FALSE,FALSE
"GENE2564","GENE2564_HUMAN","P45861","Protein GENE2564",0.0995,0.076186,0.060978,0.7732,1.2148,4,2,TRUE,FALSE,FALSE
"GENE1013","GENE1013_HUMAN","P72923","Protein GENE1013",-0.0884,1,0.968846,0,0.0137,3,5,FALSE,FALSE,FALSE
"GENE1129","GENE1129_HUMAN","P11202","Protein GENE1129",0.3546,1,0.894243,0,0.0485,3,5,FALSE,FALSE,FALSE
"GENE2478","GENE2478_HUMAN","P88591","Protein GENE2478",0.0064,0.108853,0.08154,0.6732,1.0886,6,2,FALSE,FALSE,FALSE
"GENE2324","GENE2324_HUMAN","P18727","Protein GENE2324",0.6191,0.42377,0.25484,0.1482,0.5937,5,5,FALSE,FALSE,FALSE
"DHX38","DHX38_HUMAN","P65313","Protein DHX38",0.7269,0.928137,0.348139,0.3552,0.4582,5,5,FALSE,FALSE,FALSE
"GENE0781","GENE0781_HUMAN","P15442","Protein GENE0781",0.3756,1,0.657809,0,0.1819,6,4,FALSE,FALSE,FALSE
"GENE0101","GENE0101_HUMAN","P55118","Protein GENE0101",0.2635,1,0.520681,0,0.2834,3,2,FALSE,FALSE,FALSE
"GENE2411","GENE2411_HUMAN","P49188","Protein GENE2411",0.0501,0.203894,0.107144,0.7141,0.97,4,6,FALSE,FALSE,FALSE
"GENE1414","GENE1414_HUMAN","P02888","Protein GENE1414",-0.2808,1,0.539488,0,0.268,5,2,FALSE,FALSE,FALSE
"GENE1525","GENE1525_HUMAN","P05477","Protein GENE1525",-0.3237,1,0.723187,0,0.1407,5,5,FALSE,FALSE,FALSE
"GENE1078","GENE1078_HUMAN","P55030","Protein GENE1078",0.3946,1,0.454625,0,0.3423,5,6,TRUE,FALSE,FALSE
"GENE2834","GENE2834_HUMAN","P50206","Protein GENE2834",-0.0903,0.604012,0.396782,0,0.4014,6,2,FALSE,FALSE,FALSE
"GENE1370","GENE1370_HUMAN","P10970","Protein GENE1370",-2.5342,0.029312,0.008418,1.5537,2.0748,3,6,FALSE,FALSE,TRUE
"GENE2179","GENE2179_HUMAN","P95108","Protein GENE2179",-0.0492,0.925848,0.399476,0,0.3985,6,6,FALSE,FALSE,FALSE
"GENE1994","GENE1994_HUMAN","P42325","Protein GENE1994",-0.3151,1,0.396853,0.0272,0.4014,2,3,FALSE,FALSE,FALSE
"GENE0112","GENE0112_HUMAN","P89185","Protein GENE0112",1.9403,0.125781,0.026992,0.9772,1.5688,6,5,FALSE,FALSE,TRUE
"GENE2892","GENE2892_HUMAN","P36380","Protein GENE2892",-0.4306,1,0.361227,0,0.4422,6,2,FALSE,FALSE,FALSE
"GENE0586","GENE0586_HUMAN","P94019","Protein GENE0586",-0.2856,0.635973,0.331664,0.3909,0.4793,6,4,FALSE,FALSE,FALSE
"GENE1652","GENE1652_HUMAN","P19426","Protein GENE1652",0.0596,1,0.368453,0.2019,0.4336,3,6,FALSE,FALSE,FALSE
"GENE0360","GENE0360_HUMAN","P47306","Protein GENE0360",0.296,1,0.401419,0.0626,0.3964,3,2,FALSE,FALSE,FALSE
"GENE2099","GENE2099_HUMAN","P83850","Protein GENE2099",-0.1868,0.792252,0.752186,0.0213,0.1237,5,2,FALSE,TRUE,FALSE
"GENE2291","GENE2291_HUMAN","P21931","Protein GENE2291",-0.2775,1,0.465299,0,0.3323,4,5,FALSE,FALSE,FALSE
"GENE1235","GENE1235_HUMAN","P63717","Protein GENE1235",0.7481,0.315508,0.173277,0.1521,0.7613,6,3,FALSE,FALSE,FALSE
"GENE1835","GENE1835_HUMAN","P86271","Protein GENE1835",-0.4211,0.353208,0.190683,0.3972,0.7197,5,4,FALSE,FALSE,FALSE
"GENE2497","GENE2497_HUMAN","P43860","Protein GENE2497",0.0835,1,0.756416,0,0.1212,2,3,FALSE,FALSE,FALSE
"GENE2072","GENE2072_HUMAN","P29446","Protein GENE2072",-0.182,1,0.847428,0,0.0719,6,6,FALSE,FALSE,FALSE
"GENE1176","GENE1176_HUMAN","P77183","Protein GENE1176",0.2278,1,0.589479,0,0.2295,2,3,FALSE,FALSE,FALSE
"GENE2658","GENE2658_HUMAN","P35174","Protein GENE2658",-0.4438,0.219047,0.182305,0.3107,0.7392,6,6,TRUE,FALSE,FALSE
"GENE2526","GENE2526_HUMAN","P63097","Protein GENE2526",-0.312,1,0.72805,0,0.1378,2,4,FALSE,FALSE,FALSE
"GENE1847","GENE1847_HUMAN","P48196","Protein GENE1847",-0.2697,1,0.453342,0,0.3436,5,5,FALSE,FALSE,FALSE
"GENE0246","GENE0246_HUMAN","P24355","Protein GENE0246",-0.7855,1,0.965521,0,0.0152,5,2,FALSE,FALSE,FALSE
"GENE0634","GENE0634_HUMAN","P07986","Protein GENE0634",0.2526,1,0.892544,0,0.0494,3,5,FALSE,TRUE,FALSE
"GENE1862","GENE1862_HUMAN","P89506","Protein GENE1862",-0.2354,0.779005,0.506149,0,0.2957,2,6,FALSE,FALSE,FALSE
"GENE1088","GENE1088_HUMAN","P71637","Protein GENE1088",0.5481,1,0.912435,0,0.0398,2,6,FALSE,TRUE,FALSE
"GENE1644","GENE1644_HUMAN","P24323","Protein GENE1644",-0.2816,1,0.713606,0,0.1465,4,3,TRUE,FALSE,FALSE
"GENE2636","GENE2636_HUMAN","P80921","Protein GENE2636",-0.4967,1,0.674706,0,0.1709,4,3,FALSE,FALSE,FALSE
"GENE1509","GENE1509_HUMAN","P89924","Protein GENE1509",-0.162,1,0.843959,0,0.0737,4,3,FALSE,FALSE,FALSE
"GENE0222","GENE0222_HUMAN","P29525","Protein GENE0222",-0.2846,0.221448,0.166606,0.2945,0.7783,6,2,FALSE,TRUE,FALSE
"GENE2168","GENE2168_HUMAN","P10445","Protein GENE2168",-0.1744,1,0.8208,0,0.0858,3,3,TRUE,FALSE,FALSE
"GENE0182","GENE0182_HUMAN","P62211","Protein GENE0182",0.1707,0.818919,0.424576,0.0513,0.372,4,3,FALSE,FALSE,FALSE
"GENE1174","GENE1174_HUMAN","P56885","Protein GENE1174",0.1594,0.482424,0.446535,0,0.3501,3,2,FALSE,FALSE,FALSE
"GENE2199","GENE2199_HUMAN","P84721","Protein GENE2199",0.5897,1,0.390675,0.2846,0.4082,2,3,FALSE,FALSE,FALSE
"ASCC1","ASCC1_HUMAN","P74116","Protein ASCC1",-0.9846,1,0.308595,0,0.5106,3,5,FALSE,TRUE,FALSE
"GENE2583","GENE2583_HUMAN","P24943","Protein GENE2583",0.0561,0.485482,0.197975,0.4655,0.7034,2,5,FALSE,TRUE,FALSE
